209.209.9.152 - - [25/Sep/2022:06:42:08 +0800] "GET /~ckhung/ HTTP/1.0" 200 13682 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.5.8512)"
192.241.197.81 - - [25/Sep/2022:08:03:12 +0800] "GET /owa/auth/logon.aspx HTTP/1.1" 404 4984 "-" "Mozilla/5.0 zgrab/0.x"
173.252.83.24 - - [25/Sep/2022:08:40:54 +0800] "GET /~doofenshmirtz/sickhuman/ogimage.jpg HTTP/1.1" 301 649 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
173.252.95.118 - - [25/Sep/2022:08:41:30 +0800] "GET /~doofenshmirtz/sickhuman/ogimage.jpg HTTP/1.1" 403 5263 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
3.70.249.146 - - [25/Sep/2022:09:05:35 +0800] "GET /~ckhung/b/ma/prob.php HTTP/1.1" 200 9750 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"
147.92.153.1 - - [25/Sep/2022:09:38:33 +0800] "GET /~ckhung/g/bsp.php?id=098g HTTP/1.1" 200 7599 "-" "Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)"
147.92.153.13 - - [25/Sep/2022:10:18:36 +0800] "GET /~ckhung/g/bsp.php?id=09ah HTTP/1.1" 200 9332 "-" "Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)"
111.253.32.19 - - [25/Sep/2022:10:45:59 +0800] "GET /~ckhung/i/JediTux2.png HTTP/1.1" 200 3073 "https://v.im.cyut.edu.tw/~ckhung/g/ofset/post.php?id=113a" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
118.160.134.27 - - [25/Sep/2022:11:32:10 +0800] "GET /~doofenshmirtz/saas/bus/taichung/timing4.php?rid=159&timeformat=2&refresh=1&reverse=0&hidecar=0&dark=0 HTTP/1.1" 200 7211 "https://v.im.cyut.edu.tw/~doofenshmirtz/saas/bus/taichung/timing4.php?rid=159&timeformat=2&refresh=1&reverse=0&hidecar=0&dark=0" "Mozilla/5.0 (Linux; Android 6.0; HTC_D10i) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36"
60.250.152.211 - - [25/Sep/2022:11:33:36 +0800] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.6.0"
60.250.152.211 - - [25/Sep/2022:11:33:37 +0800] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.6.0"
