https://www.youtube.com/watch?v=wM0g8EoUZ_E,#LIVE: 華視新聞直播 CH52
https://www.youtube.com/watch?v=quwqlazU-c8,公視新聞 PTS News  24小時線上直播 
https://www.youtube.com/watch?v=5n0y6b0Q25o,鏡新聞 線上看 24小時 新聞直播
https://www.youtube.com/watch?v=ylYJSBUgaMA,民視新聞 FTV 新聞直播
https://www.youtube.com/watch?v=oZdzzvxTfUY,三立新聞 24小時直播 LIVE 三立+
https://www.youtube.com/watch?v=6IquAgfvYmc,寰宇新聞台 24小時線上直播
https://www.youtube.com/watch?v=xL0ch83RAK8,台視新聞台HD 24 小時線上直播
https://www.youtube.com/watch?v=iyOq8DhaMYw,Bloomberg Business News Live
https://www.youtube.com/watch?v=GNFQp4sQnPc,LIVE: NBC News NOW
https://www.youtube.com/watch?v=w9uJg68CV4g,Watch Sky News
https://www.youtube.com/watch?v=pykpO5kQJ98,Euronews English Live
https://www.youtube.com/watch?v=6HodCcEW_oQ,DW News livestream
https://www.youtube.com/watch?v=tkDUSYHoKxE,FRANCE 24 English – LIVE – International Breaking News and Top stories - 24/7 stream
https://www.youtube.com/watch?v=gCNeDWCI0vo,🔴 Al Jazeera English
https://www.youtube.com/watch?v=f0lYkdA-Gtw,LIVE: NHK WORLD-JAPAN News
